neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,last_review_year,last_review_month,last_review_day
1,1.27546,103.84014,3,158,6,3,0.06,4,363,2019,8,12
5,1.31403,103.84666999999999,2,60,1,3,0.05,1,0,2015,8,15
9,1.31977,103.85305,3,300,7,25,0.45,203,275,2019,4,21
5,1.31326,103.85289,3,390,1,157,2.95,9,265,2019,8,26
17,1.29611,103.82991,2,69,21,16,0.32,4,141,2019,8,4
1,1.28257,103.83125,2,132,2,2,0.04,1,362,2017,12,22
4,1.3115299999999999,103.88118,2,60,1,17,0.32,37,347,2019,7,21
4,1.31105,103.88313000000001,2,60,1,55,1.0,37,342,2019,8,5
11,1.28095,103.84155,3,164,2,5,0.12,1,0,2017,5,1
0,1.35376,103.83178000000001,2,49,3,70,1.27,3,0,2019,2,25
8,1.30634,103.84011,3,160,3,76,1.63,6,158,2019,8,14
14,1.3016299999999998,103.84839000000001,3,137,7,18,0.32,203,361,2019,5,13
0,1.35426,103.82829,2,49,3,61,1.11,3,0,2019,2,24
1,1.27599,103.8406,3,158,6,6,0.12,4,340,2019,7,9
9,1.32669,103.84227,3,300,10,31,0.56,203,365,2019,7,28
11,1.27962,103.83986,3,250,3,41,0.75,9,65,2019,8,10
5,1.3151,103.8585,3,81,29,9,0.17,3,211,2019,7,7
4,1.3114,103.88322,2,60,1,25,0.47,37,353,2019,8,12
5,1.31779,103.85225,3,224,30,13,0.26,3,365,2017,12,16
17,1.31539,103.82758000000001,3,149,7,14,0.27,19,0,2018,9,20
14,1.30244,103.84733,3,90,5,9,0.17,67,55,2019,7,18
9,1.3261100000000001,103.84476,3,300,14,42,0.77,203,365,2019,5,25
9,1.31489,103.84165,3,149,2,1,0.02,2,0,2015,12,22
1,1.2856,103.82840999999999,2,60,5,7,0.13,1,0,2016,7,12
5,1.32815,103.86575,3,201,7,25,0.46,203,309,2018,7,18
4,1.31039,103.8845,3,75,1,4,0.72,5,359,2019,8,12
14,1.30514,103.85597,3,119,2,158,3.05,10,122,2019,8,7
14,1.3040200000000002,103.85423,3,115,2,198,3.61,10,0,2019,8,9
14,1.30376,103.85471,3,119,2,170,3.19,10,105,2019,8,7
14,1.3054299999999999,103.85647,3,115,2,188,3.44,10,96,2019,8,11
